"Time","Temperature","Humidity","CO2","Sensor Name"
2024-03-05 19:34:14,23.6 °C,78 %H,770 ppm,AM319-Sensor_3
2024-03-05 19:32:08,22.9 °C,82 %H,1147 ppm,AM103L-Sensor_5
2024-03-05 18:09:19,23.2 °C,79.5 %H,860 ppm,AM319-Sensor_1
2024-03-05 18:08:46,23 °C,81.5 %H,809 ppm,AM103-Sensor_4
2024-03-05 18:08:29,23.2 °C,82 %H,844 ppm,AM307-Sensor_2
2024-03-05 18:04:13,23.5 °C,77.5 %H,827 ppm,AM319-Sensor_3
2024-03-05 18:02:06,22.9 °C,80.5 %H,1205 ppm,AM103L-Sensor_5
2024-03-05 17:59:19,23.1 °C,79 %H,867 ppm,AM319-Sensor_1
2024-03-05 17:58:43,23 °C,79 %H,815 ppm,AM103-Sensor_4
2024-03-05 17:58:29,23.2 °C,80.5 %H,922 ppm,AM307-Sensor_2
2024-03-05 17:54:13,23.8 °C,77 %H,827 ppm,AM319-Sensor_3
2024-03-05 17:52:05,23 °C,82 %H,1195 ppm,AM103L-Sensor_5
2024-03-05 17:49:19,23.2 °C,79.5 %H,869 ppm,AM319-Sensor_1
2024-03-05 17:48:44,23 °C,81.5 %H,820 ppm,AM103-Sensor_4
2024-03-05 17:48:29,23.3 °C,82 %H,830 ppm,AM307-Sensor_2
2024-03-05 17:44:13,23.7 °C,77 %H,833 ppm,AM319-Sensor_3
2024-03-05 17:42:05,23 °C,79.5 %H,1204 ppm,AM103L-Sensor_5
2024-03-05 17:39:19,23.2 °C,78.5 %H,862 ppm,AM319-Sensor_1
2024-03-05 17:38:45,23.1 °C,78.5 %H,813 ppm,AM103-Sensor_4
2024-03-05 17:38:29,23.3 °C,80.5 %H,902 ppm,AM307-Sensor_2
2024-03-05 17:34:13,24 °C,77.5 %H,838 ppm,AM319-Sensor_3
2024-03-05 17:32:04,23.1 °C,81.5 %H,1216 ppm,AM103L-Sensor_5
2024-03-05 17:29:19,23.2 °C,79.5 %H,864 ppm,AM319-Sensor_1
2024-03-05 17:28:43,23.1 °C,81.5 %H,834 ppm,AM103-Sensor_4
2024-03-05 17:28:29,23.3 °C,82 %H,902 ppm,AM307-Sensor_2
