"Time","Temperature","Humidity","CO2","Sensor Name"
2024-03-15 15:59:36,23.4 °C,79 %H,528 ppm,AM319-Sensor_1
2024-03-15 15:58:44,23.2 °C,80.5 %H,524 ppm,AM103-Sensor_4
2024-03-15 15:58:34,23.4 °C,81.5 %H,618 ppm,AM307-Sensor_2
2024-03-15 15:58:28,23.9 °C,77 %H,509 ppm,AM319-Sensor_3
2024-03-15 15:52:08,23.1 °C,81 %H,833 ppm,AM103L-Sensor_5
2024-03-15 15:49:36,23.3 °C,78.5 %H,532 ppm,AM319-Sensor_1
2024-03-15 15:48:42,23.1 °C,80.5 %H,522 ppm,AM103-Sensor_4
2024-03-15 15:48:34,23.3 °C,81 %H,578 ppm,AM307-Sensor_2
2024-03-15 15:48:28,23.6 °C,77.5 %H,504 ppm,AM319-Sensor_3
2024-03-15 15:42:08,23.1 °C,78 %H,840 ppm,AM103L-Sensor_5
2024-03-15 15:39:36,23.4 °C,78.5 %H,530 ppm,AM319-Sensor_1
2024-03-15 15:38:44,23.2 °C,80 %H,526 ppm,AM103-Sensor_4
2024-03-15 15:38:34,23.5 °C,81.5 %H,596 ppm,AM307-Sensor_2
2024-03-15 15:38:28,24 °C,77 %H,505 ppm,AM319-Sensor_3
2024-03-15 15:32:09,23.1 °C,80.5 %H,839 ppm,AM103L-Sensor_5
2024-03-15 15:29:36,23.3 °C,78.5 %H,526 ppm,AM319-Sensor_1
2024-03-15 15:28:41,23.1 °C,80.5 %H,519 ppm,AM103-Sensor_4
2024-03-15 15:28:34,23.3 °C,81 %H,548 ppm,AM307-Sensor_2
2024-03-15 15:28:28,23.6 °C,77.5 %H,500 ppm,AM319-Sensor_3
2024-03-15 15:22:07,23 °C,78.5 %H,834 ppm,AM103L-Sensor_5
2024-03-15 15:19:36,23.4 °C,78.5 %H,524 ppm,AM319-Sensor_1
2024-03-15 15:18:46,23.2 °C,79.5 %H,517 ppm,AM103-Sensor_4
2024-03-15 15:18:34,23.5 °C,81 %H,546 ppm,AM307-Sensor_2
2024-03-15 15:18:28,24 °C,76.5 %H,500 ppm,AM319-Sensor_3
2024-03-15 15:12:07,23 °C,80.5 %H,837 ppm,AM103L-Sensor_5
2024-03-15 15:09:36,23.3 °C,78.5 %H,526 ppm,AM319-Sensor_1
2024-03-15 15:08:43,23.1 °C,80.5 %H,509 ppm,AM103-Sensor_4
2024-03-15 15:08:34,23.4 °C,81 %H,540 ppm,AM307-Sensor_2
2024-03-15 15:08:28,23.6 °C,78 %H,498 ppm,AM319-Sensor_3
2024-03-15 15:02:05,23.1 °C,78.5 %H,827 ppm,AM103L-Sensor_5
2024-03-15 14:59:36,23.4 °C,78.5 %H,516 ppm,AM319-Sensor_1
2024-03-15 14:58:43,23.2 °C,79.5 %H,507 ppm,AM103-Sensor_4
2024-03-15 14:58:34,23.4 °C,81 %H,554 ppm,AM307-Sensor_2
2024-03-15 14:58:28,23.9 °C,76 %H,495 ppm,AM319-Sensor_3
2024-03-15 14:52:04,23.1 °C,80.5 %H,832 ppm,AM103L-Sensor_5
2024-03-15 14:49:36,23.3 °C,78.5 %H,515 ppm,AM319-Sensor_1
2024-03-15 14:48:42,23 °C,80 %H,513 ppm,AM103-Sensor_4
2024-03-15 14:48:34,23.3 °C,81 %H,518 ppm,AM307-Sensor_2
2024-03-15 14:48:28,23.6 °C,77.5 %H,492 ppm,AM319-Sensor_3
2024-03-15 14:42:04,23 °C,78 %H,842 ppm,AM103L-Sensor_5
2024-03-15 14:39:36,23.3 °C,78.5 %H,503 ppm,AM319-Sensor_1
2024-03-15 14:38:44,23.3 °C,79.5 %H,515 ppm,AM103-Sensor_4
2024-03-15 14:38:34,23.4 °C,81 %H,581 ppm,AM307-Sensor_2
2024-03-15 14:38:28,23.9 °C,76 %H,486 ppm,AM319-Sensor_3
2024-03-15 14:32:08,23.1 °C,80 %H,820 ppm,AM103L-Sensor_5
2024-03-15 14:29:36,23.3 °C,78.5 %H,505 ppm,AM319-Sensor_1
2024-03-15 14:28:43,23.1 °C,80.5 %H,500 ppm,AM103-Sensor_4
2024-03-15 14:28:34,23.4 °C,81 %H,547 ppm,AM307-Sensor_2
2024-03-15 14:28:28,23.6 °C,77.5 %H,489 ppm,AM319-Sensor_3
2024-03-15 14:22:07,23 °C,78.5 %H,810 ppm,AM103L-Sensor_5
2024-03-15 14:19:36,23.4 °C,78.5 %H,507 ppm,AM319-Sensor_1
2024-03-15 14:18:43,23.2 °C,79.5 %H,503 ppm,AM103-Sensor_4
2024-03-15 14:18:34,23.5 °C,81 %H,574 ppm,AM307-Sensor_2
2024-03-15 14:18:28,23.9 °C,76.5 %H,486 ppm,AM319-Sensor_3
2024-03-15 14:12:07,23.1 °C,80.5 %H,819 ppm,AM103L-Sensor_5
2024-03-15 14:09:36,23.3 °C,79 %H,501 ppm,AM319-Sensor_1
2024-03-15 14:08:43,23 °C,80.5 %H,494 ppm,AM103-Sensor_4
2024-03-15 14:08:34,23.4 °C,81 %H,584 ppm,AM307-Sensor_2
2024-03-15 14:08:28,23.6 °C,77.5 %H,480 ppm,AM319-Sensor_3
2024-03-15 14:02:07,23.1 °C,78 %H,806 ppm,AM103L-Sensor_5
2024-03-15 13:59:36,23.4 °C,78.5 %H,502 ppm,AM319-Sensor_1
2024-03-15 13:58:42,23.2 °C,79.5 %H,514 ppm,AM103-Sensor_4
2024-03-15 13:58:34,23.5 °C,81 %H,515 ppm,AM307-Sensor_2
2024-03-15 13:58:28,23.9 °C,76.5 %H,478 ppm,AM319-Sensor_3
2024-03-15 13:52:06,23.1 °C,80.5 %H,818 ppm,AM103L-Sensor_5
2024-03-15 13:49:35,23.3 °C,78.5 %H,508 ppm,AM319-Sensor_1
2024-03-15 13:48:43,23.2 °C,80.5 %H,499 ppm,AM103-Sensor_4
2024-03-15 13:48:34,23.4 °C,81 %H,571 ppm,AM307-Sensor_2
2024-03-15 13:48:28,23.7 °C,77.5 %H,480 ppm,AM319-Sensor_3
2024-03-15 13:42:06,23.1 °C,78.5 %H,810 ppm,AM103L-Sensor_5
2024-03-15 13:39:35,23.4 °C,79 %H,499 ppm,AM319-Sensor_1
2024-03-15 13:38:45,23.2 °C,80.5 %H,487 ppm,AM103-Sensor_4
2024-03-15 13:38:34,23.5 °C,81.5 %H,534 ppm,AM307-Sensor_2
2024-03-15 13:38:28,24 °C,77.5 %H,478 ppm,AM319-Sensor_3
2024-03-15 13:32:05,23.1 °C,80.5 %H,814 ppm,AM103L-Sensor_5
2024-03-15 13:29:35,23.3 °C,79 %H,498 ppm,AM319-Sensor_1
2024-03-15 13:28:46,23.1 °C,80.5 %H,500 ppm,AM103-Sensor_4
2024-03-15 13:28:34,23.3 °C,81 %H,560 ppm,AM307-Sensor_2
2024-03-15 13:28:28,23.7 °C,77.5 %H,479 ppm,AM319-Sensor_3
2024-03-15 13:22:09,23.1 °C,78 %H,805 ppm,AM103L-Sensor_5
